source,company_name,company_slug,batch,website,job_title,location,job_url,apply_url,careers_url,salary_range,job_type,job_source,stage,error
yc_work_at_startup,Narrative,narrative,Winter 2023,https://www.trynarrative.com/,Founding engineer (Backend + AI),"Bengaluru, KA, IN / Bengaluru, Karnataka, IN / Remote (IN)",https://www.ycombinator.com/companies/narrative/jobs/AUF5OZd-founding-engineer-backend-ai,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D90221&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=27814,,$36 - $60,Full-time,,,
yc_work_at_startup,Andson Biotech,andson-biotech,Winter 2022,http://www.andsonbiotech.com,Full-Stack Software/Controls Engineer,"Atlanta, GA, US",https://www.ycombinator.com/companies/andson-biotech/jobs/WxFoV9g-full-stack-software-controls-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D76606&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=25865,,$80K - $150K,Full-time,,,
yc_work_at_startup,Andson Biotech,andson-biotech,Winter 2022,http://www.andsonbiotech.com,Microfabrication Engineer,"Atlanta, GA, US",https://www.ycombinator.com/companies/andson-biotech/jobs/nwhFNZU-microfabrication-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D69159&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=25865,,$75K - $130K,Full-time,,,
yc_work_at_startup,Andson Biotech,andson-biotech,Winter 2022,http://www.andsonbiotech.com,Electro-Mechanical Engineer,"Atlanta, GA, US",https://www.ycombinator.com/companies/andson-biotech/jobs/6GtAo58-electro-mechanical-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D65276&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=25865,,$65K - $115K,Full-time,,,
yc_work_at_startup,Wardstone,wardstone,Fall 2025,https://www.wardstone.space,Business Development Intern - Space and Missile Defense,"Los Angeles, CA, US",https://www.ycombinator.com/companies/wardstone/jobs/4bz39Kz-business-development-intern-space-and-missile-defense,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D88370&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30881,,$6K - $10K / monthly,Internship,,,
yc_work_at_startup,Wardstone,wardstone,Fall 2025,https://www.wardstone.space,Engineering Intern - Space and Missile Defense,"Los Angeles, CA, US",https://www.ycombinator.com/companies/wardstone/jobs/C90kpnb-engineering-intern-space-and-missile-defense,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D88369&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30881,,$6K - $10K / monthly,Internship,,,
yc_work_at_startup,Wardstone,wardstone,Fall 2025,https://www.wardstone.space,Simulation and Modeling Engineer,"Los Angeles, CA, US",https://www.ycombinator.com/companies/wardstone/jobs/Zh5raC8-simulation-and-modeling-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D87108&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30881,,$100K - $180K,Full-time,,,
yc_work_at_startup,Wardstone,wardstone,Fall 2025,https://www.wardstone.space,"Guidance, Navigation, and Controls Engineer","Los Angeles, CA, US",https://www.ycombinator.com/companies/wardstone/jobs/AiembZ4-guidance-navigation-and-controls-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D87107&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30881,,$120K - $180K,Full-time,,,
yc_work_at_startup,Wardstone,wardstone,Fall 2025,https://www.wardstone.space,Propulsion & High Energy Systems Engineer,"Los Angeles, CA, US",https://www.ycombinator.com/companies/wardstone/jobs/JObS6Dz-propulsion-high-energy-systems-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D87106&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30881,,$100K - $160K,Full-time,,,
yc_work_at_startup,Wardstone,wardstone,Fall 2025,https://www.wardstone.space,Sensing & Perception Engineer,"Los Angeles, CA, US",https://www.ycombinator.com/companies/wardstone/jobs/JVCtV6u-sensing-perception-engineer,https://account.ycombinator.com/authenticate?continue=https%3A%2F%2Fwww.workatastartup.com%2Fapplication%3Fsignup_job_id%3D87105&defaults%5BsignUpActive%5D=true&defaults%5Bwaas_company%5D=30881,,$100K - $160K,Full-time,,,
